precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
1100,0,Albarellos 1000 Acassuso Provincia de Buenos Aires Argentina,"Acassuso, San Isidro",110,110,3,1,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.0,10.0,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
1430,0,Albarellos 1000 Acassuso Provincia de Buenos Aires Argentina,"Acassuso, San Isidro",110,95,3,1,1,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),13.0,15.052631578947368,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
1000, $ 180.000,Arenales 1036,"Acassuso, San Isidro",92,82,3,1,2,30,Interno,E,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.869565217391305,12.195121951219512,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
900, $ 90.000,Manzone ,"Acassuso, San Isidro",75,68,3,1,2,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),12.0,13.235294117647058,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
590, $ 180.500,Santa Fe  al 700 Acassuso,"Acassuso, San Isidro",55,55,3,1,2,45,Frente,O,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.727272727272727,10.727272727272727,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
560, $ 65.000,Güemes  200 1°,"Acassuso, San Isidro",43,39,3,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),13.023255813953488,14.35897435897436,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
1600,300.0,Arenales 1000,"Acassuso, San Isidro",230,200,4,3,3,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),6.956521739130435,8.0,10.304369741400151,11.989651993687357,1230.5882352941176,2067.938775510204,3
1500,0,Urquiza y Lib. Excelente Luminoso !!!!,"Acassuso, San Isidro",130,120,4,2,2,40,Contrafrente,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),11.538461538461538,12.5,10.304369741400151,11.989651993687357,1230.5882352941176,2067.938775510204,3
1300,0,Jujuy al 100,"Acassuso, San Isidro",118,96,4,2,3,25,Frente,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),11.016949152542374,13.541666666666666,10.304369741400151,11.989651993687357,1230.5882352941176,2067.938775510204,3
800,0,Libertador  15300 1°,"Acassuso, San Isidro",94,94,4,2,3,40,Contrafrente,E,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Zona Norte (GBA),8.51063829787234,8.51063829787234,10.304369741400151,11.989651993687357,1230.5882352941176,2067.938775510204,3
1600, $ 280.000,Avenida Santa Fe 348,"Acassuso, San Isidro",120,110,4,2,3,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),13.333333333333334,14.545454545454545,10.304369741400151,11.989651993687357,1230.5882352941176,2067.938775510204,3
1600, $ 100.000,Av Santa Fe  600,"Acassuso, San Isidro",110,100,4,2,3,20,Contrafrente,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),14.545454545454545,16.0,10.304369741400151,11.989651993687357,1230.5882352941176,2067.938775510204,3
